# x=sigma  counts  |dlnsigma/dlogM|  norm=|dlnsigma/dlogM|*(rho_m/M)*Veff*dlogM  log10(M/(M_sun/h))
2.071100986990592752e+00 9.952790000000000000e+05 4.353232831167857587e-04 3.322133921038271394e+06 1.247321224212646484e+01
1.918431065129670321e+00 6.826740000000000000e+05 5.256269699667179057e-04 2.170415562222088687e+06 1.267321300506591797e+01
1.772055026718023951e+00 4.465810000000000000e+05 6.498815132392932355e-04 1.420451988583212253e+06 1.287321186065673828e+01
1.631817716281404262e+00 3.006440000000000000e+05 7.920599091501772477e-04 9.323995584793301532e+05 1.307321262359619141e+01
1.497636172257634124e+00 1.974130000000000000e+05 9.774542477501047162e-04 6.123919718801636482e+05 1.327321147918701172e+01
1.369533369925779676e+00 1.274690000000000000e+05 1.216415731344465227e-03 4.030465815320678521e+05 1.347321224212646484e+01
1.247587660950882471e+00 8.142200000000000000e+04 1.521995673968131249e-03 2.651670415761831100e+05 1.367321109771728516e+01
1.131886109458338341e+00 5.082800000000000000e+04 1.926339312435386810e-03 1.747201698522771185e+05 1.387321186065673828e+01
1.022518374228147620e+00 3.111400000000000000e+04 2.462104063748751619e-03 1.150878122340103728e+05 1.407321071624755859e+01
9.195217397928030501e-01 1.794700000000000000e+04 3.241816179354156321e-03 7.590731527074497717e+04 1.427321147918701172e+01
8.229534167815822920e-01 9.978000000000000000e+03 4.347729908299453709e-03 5.005352163759042014e+04 1.447321033477783203e+01
7.328064816285394523e-01 5.000000000000000000e+03 6.141851462144317861e-03 3.303073194913438783e+04 1.467321109771728516e+01
6.490931224453242443e-01 2.373000000000000000e+03 8.915289285496060673e-03 2.179653588529359695e+04 1.487320995330810547e+01
5.717441757554697634e-01 8.610000000000000000e+02 1.480071662358694272e-02 1.438203073446257076e+04 1.507321071624755859e+01
5.007065107315520347e-01 2.780000000000000000e+02 2.604725243033923637e-02 9.493695012910588048e+03 1.527320957183837891e+01
4.358364618948221136e-01 7.700000000000000000e+01 4.949244920178690055e-02 6.259271992295311065e+03 1.547321033477783203e+01
3.769973664559976845e-01 6.000000000000000000e+00 1.772999862471512367e-01 4.131756137652595498e+03 1.567320919036865234e+01
3.239768128090889099e-01 1.000000000000000000e+00 4.342944819032518722e-01 2.719836551256851180e+03 1.587320995330810547e+01
