# x=sigma  counts  |dlnsigma/dlogM|  norm=|dlnsigma/dlogM|*(rho_m/M)*Veff*dlogM  log10(M/(M_sun/h))
2.071100986990592752e+00 9.948750000000000000e+05 4.354116556380153102e-04 3.322133921038271394e+06 1.247321224212646484e+01
1.918431065129670321e+00 6.822700000000000000e+05 5.257825371454004533e-04 2.170415562222088687e+06 1.267321300506591797e+01
1.772055026718023951e+00 4.450820000000000000e+05 6.509749699342362453e-04 1.420451988583212253e+06 1.287321186065673828e+01
1.631817716281404262e+00 3.001390000000000000e+05 7.927259794385929301e-04 9.323995584793301532e+05 1.307321262359619141e+01
1.497636172257634124e+00 1.975690000000000000e+05 9.770682493480578167e-04 6.123919718801636482e+05 1.327321147918701172e+01
1.369533369925779676e+00 1.262360000000000000e+05 1.222341897490922778e-03 4.030465815320678521e+05 1.347321224212646484e+01
1.247587660950882471e+00 8.045100000000000000e+04 1.531152994634923936e-03 2.651670415761831100e+05 1.367321109771728516e+01
1.131886109458338341e+00 5.052700000000000000e+04 1.932068680870922253e-03 1.747201698522771185e+05 1.387321186065673828e+01
1.022518374228147620e+00 3.104800000000000000e+04 2.464719407378240280e-03 1.150878122340103728e+05 1.407321071624755859e+01
9.195217397928030501e-01 1.797500000000000000e+04 3.239290241874076028e-03 7.590731527074497717e+04 1.427321147918701172e+01
8.229534167815822920e-01 9.750000000000000000e+03 4.398271188518458261e-03 5.005352163759042014e+04 1.447321033477783203e+01
7.328064816285394523e-01 5.190000000000000000e+03 6.028380324195538320e-03 3.303073194913438783e+04 1.467321109771728516e+01
6.490931224453242443e-01 2.317000000000000000e+03 9.022383927312263574e-03 2.179653588529359695e+04 1.487320995330810547e+01
5.717441757554697634e-01 9.330000000000000000e+02 1.421816258482693114e-02 1.438203073446257076e+04 1.507321071624755859e+01
5.007065107315520347e-01 3.020000000000000000e+02 2.499083908012049438e-02 9.493695012910588048e+03 1.527320957183837891e+01
4.358364618948221136e-01 7.100000000000000000e+01 5.154127006111604292e-02 6.259271992295311065e+03 1.547321033477783203e+01
3.769973664559976845e-01 1.100000000000000000e+01 1.309447167142055168e-01 4.131756137652595498e+03 1.567320919036865234e+01
3.239768128090889099e-01 3.000000000000000000e+00 2.507400315340713171e-01 2.719836551256851180e+03 1.587320995330810547e+01
