# x=sigma  counts  |dlnsigma/dlogM|  norm=|dlnsigma/dlogM|*(rho_m/M)*Veff*dlogM  log10(M/(M_sun/h))
2.071100986990592752e+00 9.954360000000000000e+05 4.352889484795348049e-04 3.322133921038271394e+06 1.247321224212646484e+01
1.918431065129670321e+00 6.837600000000000000e+05 5.252093767233464256e-04 2.170415562222088687e+06 1.267321300506591797e+01
1.772055026718023951e+00 4.466660000000000000e+05 6.498196786843053090e-04 1.420451988583212253e+06 1.287321186065673828e+01
1.631817716281404262e+00 2.992860000000000000e+05 7.938548560208934712e-04 9.323995584793301532e+05 1.307321262359619141e+01
1.497636172257634124e+00 1.979130000000000000e+05 9.762187756007301761e-04 6.123919718801636482e+05 1.327321147918701172e+01
1.369533369925779676e+00 1.272000000000000000e+05 1.217701269262890917e-03 4.030465815320678521e+05 1.347321224212646484e+01
1.247587660950882471e+00 8.111100000000000000e+04 1.524910759790512604e-03 2.651670415761831100e+05 1.367321109771728516e+01
1.131886109458338341e+00 5.073800000000000000e+04 1.928047147392732575e-03 1.747201698522771185e+05 1.387321186065673828e+01
1.022518374228147620e+00 3.090000000000000000e+04 2.470614881619825204e-03 1.150878122340103728e+05 1.407321071624755859e+01
9.195217397928030501e-01 1.785800000000000000e+04 3.249884481245971218e-03 7.590731527074497717e+04 1.427321147918701172e+01
8.229534167815822920e-01 9.950000000000000000e+03 4.353843087466092998e-03 5.005352163759042014e+04 1.447321033477783203e+01
7.328064816285394523e-01 5.055000000000000000e+03 6.108347678274776704e-03 3.303073194913438783e+04 1.467321109771728516e+01
6.490931224453242443e-01 2.337000000000000000e+03 8.983694358099744703e-03 2.179653588529359695e+04 1.487320995330810547e+01
5.717441757554697634e-01 9.170000000000000000e+02 1.434166699615529485e-02 1.438203073446257076e+04 1.507321071624755859e+01
5.007065107315520347e-01 2.810000000000000000e+02 2.590783560864654694e-02 9.493695012910588048e+03 1.527320957183837891e+01
4.358364618948221136e-01 7.000000000000000000e+01 5.190811754565836933e-02 6.259271992295311065e+03 1.547321033477783203e+01
3.769973664559976845e-01 1.400000000000000000e+01 1.160700859619291786e-01 4.131756137652595498e+03 1.567320919036865234e+01
3.239768128090889099e-01 2.000000000000000000e+00 3.070925679300222089e-01 2.719836551256851180e+03 1.587320995330810547e+01
