# x=sigma  counts  |dlnsigma/dlogM|  norm=|dlnsigma/dlogM|*(rho_m/M)*Veff*dlogM  log10(M/(M_sun/h))
2.071100986990592752e+00 9.948910000000000000e+05 4.354081435556307915e-04 3.322133921038271394e+06 1.247321224212646484e+01
1.918431065129670321e+00 6.820620000000000000e+05 5.258627033898399588e-04 2.170415562222088687e+06 1.267321300506591797e+01
1.772055026718023951e+00 4.466570000000000000e+05 6.498262443076726659e-04 1.420451988583212253e+06 1.287321186065673828e+01
1.631817716281404262e+00 3.007540000000000000e+05 7.919150226031952721e-04 9.323995584793301532e+05 1.307321262359619141e+01
1.497636172257634124e+00 1.973480000000000000e+05 9.776152101570068521e-04 6.123919718801636482e+05 1.327321147918701172e+01
1.369533369925779676e+00 1.270560000000000000e+05 1.218391121038113652e-03 4.030465815320678521e+05 1.347321224212646484e+01
1.247587660950882471e+00 8.166100000000000000e+04 1.519766823808604535e-03 2.651670415761831100e+05 1.367321109771728516e+01
1.131886109458338341e+00 5.053500000000000000e+04 1.931915723683887533e-03 1.747201698522771185e+05 1.387321186065673828e+01
1.022518374228147620e+00 3.111000000000000000e+04 2.462262150254202094e-03 1.150878122340103728e+05 1.407321071624755859e+01
9.195217397928030501e-01 1.817500000000000000e+04 3.221418017887783466e-03 7.590731527074497717e+04 1.427321147918701172e+01
8.229534167815822920e-01 9.944000000000000000e+03 4.355156271976242527e-03 5.005352163759042014e+04 1.447321033477783203e+01
7.328064816285394523e-01 5.056000000000000000e+03 6.107743108922569428e-03 3.303073194913438783e+04 1.467321109771728516e+01
6.490931224453242443e-01 2.286000000000000000e+03 9.083353400091802310e-03 2.179653588529359695e+04 1.487320995330810547e+01
5.717441757554697634e-01 8.670000000000000000e+02 1.474941415707620163e-02 1.438203073446257076e+04 1.507321071624755859e+01
5.007065107315520347e-01 2.910000000000000000e+02 2.545879255728653728e-02 9.493695012910588048e+03 1.527320957183837891e+01
4.358364618948221136e-01 6.900000000000000000e+01 5.228290915118843918e-02 6.259271992295311065e+03 1.547321033477783203e+01
3.769973664559976845e-01 1.400000000000000000e+01 1.160700859619291786e-01 4.131756137652595498e+03 1.567320919036865234e+01
3.239768128090889099e-01 1.000000000000000000e+00 4.342944819032518722e-01 2.719836551256851180e+03 1.587320995330810547e+01
