# x=sigma  counts  |dlnsigma/dlogM|  norm=|dlnsigma/dlogM|*(rho_m/M)*Veff*dlogM  log10(M/(M_sun/h))
2.071100986990592752e+00 9.947020000000000000e+05 4.354495156607925198e-04 3.322133921038271394e+06 1.247321224212646484e+01
1.918431065129670321e+00 6.831840000000000000e+05 5.254307187384400909e-04 2.170415562222088687e+06 1.267321300506591797e+01
1.772055026718023951e+00 4.455530000000000000e+05 6.506308034760358364e-04 1.420451988583212253e+06 1.287321186065673828e+01
1.631817716281404262e+00 2.990020000000000000e+05 7.942317532190642203e-04 9.323995584793301532e+05 1.307321262359619141e+01
1.497636172257634124e+00 1.980500000000000000e+05 9.758810288990930285e-04 6.123919718801636482e+05 1.327321147918701172e+01
1.369533369925779676e+00 1.265730000000000000e+05 1.220713583661120526e-03 4.030465815320678521e+05 1.347321224212646484e+01
1.247587660950882471e+00 8.133800000000000000e+04 1.522781434548512369e-03 2.651670415761831100e+05 1.367321109771728516e+01
1.131886109458338341e+00 5.075400000000000000e+04 1.927743167954710244e-03 1.747201698522771185e+05 1.387321186065673828e+01
1.022518374228147620e+00 3.082400000000000000e+04 2.473658994296865869e-03 1.150878122340103728e+05 1.407321071624755859e+01
9.195217397928030501e-01 1.789000000000000000e+04 3.246976585823070117e-03 7.590731527074497717e+04 1.427321147918701172e+01
8.229534167815822920e-01 9.834000000000000000e+03 4.379446346993439571e-03 5.005352163759042014e+04 1.447321033477783203e+01
7.328064816285394523e-01 5.071000000000000000e+03 6.098703181663426946e-03 3.303073194913438783e+04 1.467321109771728516e+01
6.490931224453242443e-01 2.331000000000000000e+03 8.995248504275963827e-03 2.179653588529359695e+04 1.487320995330810547e+01
5.717441757554697634e-01 9.970000000000000000e+02 1.375424386518894586e-02 1.438203073446257076e+04 1.507321071624755859e+01
5.007065107315520347e-01 2.720000000000000000e+02 2.633297026814375441e-02 9.493695012910588048e+03 1.527320957183837891e+01
4.358364618948221136e-01 7.200000000000000000e+01 5.118209321689434765e-02 6.259271992295311065e+03 1.547321033477783203e+01
3.769973664559976845e-01 6.000000000000000000e+00 1.772999862471512367e-01 4.131756137652595498e+03 1.567320919036865234e+01
